"chemical" "ProteinID"
"CIDm00000197" "b2078"
"CIDm00000197" "b2086"
"CIDm00000197" "b2099"
"CIDm00000197" "b2100"
"CIDm00000197" "b2103"
"CIDm00000197" "b2104"
"CIDm00000197" "b2160"
"CIDm00000197" "b2163"
"CIDm00000197" "b2166"
"CIDm00000197" "b2214"
"CIDm00000197" "b2218"
"CIDm00000197" "b2219"
"CIDm00000197" "b2220"
"CIDm00000197" "b2224"
"CIDm00000197" "b2231"
"CIDm00000197" "b2234"
"CIDm00000197" "b2251"
"CIDm00000197" "b2296"
"CIDm00000197" "b2312"
"CIDm00000197" "b2315"
"CIDm00000197" "b2341"
"CIDm00000197" "b2342"
"CIDm00000197" "b2370"
"CIDm00000197" "b2373"
"CIDm00000197" "b2389"
"CIDm00000197" "b2417"
"CIDm00000197" "b2418"
"CIDm00000197" "b2455"
"CIDm00000197" "b2469"
"CIDm00000197" "b2474"
"CIDm00000197" "b2476"
"CIDm00000197" "b2496"
"CIDm00000197" "b2503"
"CIDm00000197" "b2508"
"CIDm00000197" "b2518"
"CIDm00000197" "b2526"
"CIDm00000197" "b2542"
"CIDm00000197" "b2550"
"CIDm00000197" "b2553"
"CIDm00000197" "b2554"
"CIDm00000197" "b2557"
"CIDm00000197" "b2576"
"CIDm00000197" "b2592"
"CIDm00000197" "b2627"
"CIDm00000197" "b2661"
"CIDm00000197" "b2668"
"CIDm00000197" "b2675"
"CIDm00000197" "b2688"
"CIDm00000197" "b2699"
"CIDm00000197" "b2708"
"CIDm00000197" "b2712"
"CIDm00000197" "b2733"
"CIDm00000197" "b2734"
"CIDm00000197" "b2750"
"CIDm00000197" "b2751"
"CIDm00000197" "b2761"
"CIDm00000197" "b2776"
"CIDm00000197" "b2780"
"CIDm00000197" "b2786"
"CIDm00000197" "b2803"
"CIDm00000197" "b2818"
"CIDm00000197" "b2830"
"CIDm00000197" "b2844"
"CIDm00000197" "b2874"
"CIDm00000197" "b2912"
"CIDm00000197" "b2919"
"CIDm00000197" "b2926"
"CIDm00000197" "b2942"
"CIDm00000197" "b2947"
"CIDm00000197" "b2950"
"CIDm00000197" "b2988"
"CIDm00000197" "b3019"
"CIDm00000197" "b3030"
"CIDm00000197" "b3072"
"CIDm00000197" "b3081"
"CIDm00000197" "b3115"
"CIDm00000197" "b3162"
"CIDm00000197" "b3178"
"CIDm00000197" "b3197"
"CIDm00000197" "b3201"
"CIDm00000197" "b3210"
"CIDm00000197" "b3222"
"CIDm00000197" "b3236"
"CIDm00000197" "b3251"
"CIDm00000197" "b3256"
"CIDm00000197" "b3290"
"CIDm00000197" "b3297"
"CIDm00000197" "b3300"
"CIDm00000197" "b3350"
"CIDm00000197" "b3352"
"CIDm00000197" "b3357"
"CIDm00000197" "b3374"
"CIDm00000197" "b3384"
"CIDm00000197" "b3389"
"CIDm00000197" "b3390"
"CIDm00000197" "b3397"
"CIDm00000197" "b3403"
"CIDm00000197" "b3425"
"CIDm00000197" "b3429"
"CIDm00000197" "b3430"
"CIDm00000197" "b3455"
"CIDm00000197" "b3469"
"CIDm00000197" "b3500"
"CIDm00000197" "b3526"
"CIDm00000197" "b3529"
"CIDm00000197" "b3564"
"CIDm00000197" "b3580"
"CIDm00000197" "b3588"
"CIDm00000197" "b3611"
"CIDm00000197" "b3619"
"CIDm00000197" "b3634"
"CIDm00000197" "b3643"
"CIDm00000197" "b3648"
"CIDm00000197" "b3652"
"CIDm00000197" "b3668"
"CIDm00000197" "b3699"
"CIDm00000197" "b3701"
"CIDm00000197" "b3702"
"CIDm00000197" "b3731"
"CIDm00000197" "b3732"
"CIDm00000197" "b3733"
"CIDm00000197" "b3734"
"CIDm00000197" "b3735"
"CIDm00000197" "b3737"
"CIDm00000197" "b3746"
"CIDm00000197" "b3752"
"CIDm00000197" "b3780"
"CIDm00000197" "b3783"
"CIDm00000197" "b3786"
"CIDm00000197" "b3813"
"CIDm00000197" "b3822"
"CIDm00000197" "b3844"
"CIDm00000197" "b3845"
"CIDm00000197" "b3846"
"CIDm00000197" "b3868"
"CIDm00000197" "b3870"
"CIDm00000197" "b3887"
"CIDm00000197" "b3904"
"CIDm00000197" "b3911"
"CIDm00000197" "b3916"
"CIDm00000197" "b3926"
